name,url,picture,dietLabels,healthLabels,calories,fat,carbs,protein,ingredients
brioche french toast casserole,http://blog.gygi.com/blog/2016/04/06/brioche-french-toast-casserole/,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/brioche%20french%20toast%20casserole.jpg,['Balanced'],"['Kidney-Friendly', 'Vegetarian', 'Pescatarian', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Kosher']",569.632,16.47306,84.11732,21.86988,"['maple syrup', 'challah bread', 'fresh blueberries', 'eggs', 'whole milk', 'lemon', 'salt']"
apple and pecan breakfast casserole,http://www.food.com/recipe/apple-and-pecan-breakfast-casserole-316266,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/apple%20and%20pecan%20breakfast%20casserole.jpg,[],"['Vegetarian', 'Pescatarian', 'Peanut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Kosher']",656.411313824525,26.5685943691528,98.88780648452789,12.495139300249896,"['apples', 'pecans', 'golden raisin', 'brown sugar', 'ground cinnamon', 'margarine', 'eggs', 'orange juice', 'flour', 'salt', 'sugar', 'brown sugar', 'cinnamon', 'maple syrup']"
spicy miso ramen pie,https://food52.com/recipes/41983-spicy-miso-ramen-pie,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/spicy%20miso%20ramen%20pie.jpg,['High-Fiber'],"['Sugar-Conscious', 'Vegetarian', 'Pescatarian', 'Peanut-Free', 'Tree-Nut-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Kosher']",772.3256161999999,50.9185910112,60.311612435300006,28.5693728481,"['whole wheat flour', 'butter', 'buttermilk', 'salt', 'sugar', 'egg', 'mushrooms', 'onion', 'sesame oil', 'oil', 'firm tofu', 'miso paste']"
huevos rancheros,http://www.thedailymeal.com/recipes/healthy-huevos-rancheros-recipe,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/huevos%20rancheros.jpg,"['High-Fiber', 'Low-Carb']","['Vegetarian', 'Pescatarian', 'Mediterranean', 'Dairy-Free', 'Gluten-Free', 'Wheat-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher', 'Immuno-Supportive']",614.8727124872655,51.75386987798146,32.0432486284317,10.29316061652277,"['tomatoes', 'red onion', 'jalapeno pepper', 'olive oil', 'lime', 'Salt', 'pepper', 'garlic', 'black beans', 'water', 'cilantro', 'corn tortillas', 'eggs', 'avocado', 'cilantro']"
cafe pasquals huevos motulenos,https://www.bigoven.com/recipe/cafe-pasquals-huevos-motulenos/50002,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/cafe%20pasquals%20huevos%20motulenos.jpg,"['Balanced', 'High-Fiber']","['Vegetarian', 'Pescatarian', 'Gluten-Free', 'Wheat-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher']",916.5601777767708,42.96686288885503,102.68232888872868,37.07992133328665,"['Vegetable oil', 'Eggs', 'corn tortillas', 'Clarified butter', 'Feta cheese', 'Black beans', 'Salsa', 'chile sauce', 'Bananas', 'Clarified Butter', 'cilantro', 'Green peas']"
mushroom scrambled eggs on flatbread,https://eatsmarter.com/recipes/mushroom-scrambled-eggs-on-flatbread,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/mushroom%20scrambled%20eggs%20on%20flatbread.jpg,['Balanced'],"['Vegetarian', 'Pescatarian', 'Mediterranean', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher']",304.3419676046788,13.254810589628995,32.97508531480587,14.627331365947612,"['Button mushrooms', 'Oyster mushroom', 'Onion', 'Thyme', 'Eggs', 'Milk', 'Tomato paste', 'Salt', 'Pepper', 'Canola oil', 'Sesame seeds', 'Tomatoes', 'Flatbread']"
breakfast hash,https://daiyafoods.com/recipes/breakfast-hash/,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/breakfast%20hash.jpg,['High-Fiber'],"['Sugar-Conscious', 'Vegan', 'Vegetarian', 'Pescatarian', 'Mediterranean', 'Dairy-Free', 'Gluten-Free', 'Wheat-Free', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher']",597.0746922669707,33.87982060000325,60.89683833336689,13.350351066720767,"['potatoes', 'extra virgin olive oil', 'cumin', 'jalapeño', 'Cherry Tomatoes', 'black beans', 'nutritional yeast', 'Button Mushrooms', 'avocado', 'spinach', 'Daiya Cheddar', 'salt', 'lime']"
veggie french bread pizza,http://www.readyseteat.com/recipes-Veggie-French-Bread-Pizza-5322.html,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/veggie%20french%20bread%20pizza.jpg,[],"['Vegetarian', 'Pescatarian', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher']",472.2462429897872,24.96057331042747,48.28328246696209,21.398814973625484,"['French bread', 'PAM', 'bell pepper', 'artichoke hearts in water', 'mushrooms', 'red pepper flakes', 'Garlic', 'Oregano', 'mozzarella cheese']"
huevos rancheros in muffin cups,http://www.food.com/recipe/huevos-rancheros-in-muffin-cups-507924,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/huevos%20rancheros%20in%20muffin%20cups.jpg,['Balanced'],"['Sugar-Conscious', 'Vegetarian', 'Pescatarian', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher']",597.7104,28.12184,62.208582,25.24596,"['flour tortillas', 'butter', 'kosher salt', 'salsa', 'black beans', 'eggs', 'cheese', 'sour cream']"
roasted chickpeas,http://littlenoshes.com/roasted-chickpeas/,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/roasted%20chickpeas.jpg,"['Balanced', 'High-Fiber']","['Kidney-Friendly', 'Vegan', 'Vegetarian', 'Pescatarian', 'Dairy-Free', 'Gluten-Free', 'Wheat-Free', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher']",285.82702286250003,10.156270743375,38.65525621875,12.046508281874996,"['can chickpea', 'olive oil', 'salt', 'herb']"
