name,url,picture,dietLabels,healthLabels,calories,fat,carbs,protein,ingredients,uri
north croatian mushrooms and pasta casserole,http://www.food.com/recipe/north-croatian-mushrooms-and-pasta-casserole-266192,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/north%20croatian%20mushrooms%20and%20pasta%20casserole.jpg,['Balanced'],"['Vegetarian', 'Pescatarian', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher', 'Immuno-Supportive']",665.2624999998076,32.22864599999948,72.98628649995966,21.699696499994545,"['macaroni', 'white mushrooms', 'wild mushrooms', 'onions', 'butter', 'flour', 'milk', 'ground nutmeg', 'salt', 'white pepper', 'egg', 'parmesan cheese', 'sour cream']",http://www.edamam.com/ontologies/edamam.owl#recipe_7d6fc4b1b05ab880babb07135064b529
rocket salsa verde linguine with chicken,https://www.taste.com.au/recipes/rocket-salsa-verde-linguine-chicken/4d920a78-cba4-4c43-aff0-0629841f7bfe,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/rocket%20salsa%20verde%20linguine%20with%20chicken.jpg,['Low-Sodium'],"['Sugar-Conscious', 'Mediterranean', 'Dairy-Free', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher']",817.4137333331564,41.797461333330105,79.36197199995706,30.515061333327246,"['olive oil', 'chicken thigh', 'linguine', 'rocket', 'parsley', 'chives', 'oregano', 'capers', 'garlic', 'lemon rind', 'lemon juice', 'chilli', 'extra-virgin olive oil']",http://www.edamam.com/ontologies/edamam.owl#recipe_6f133dec3b1917aff04198b45ae3ad39
smoked paprika almond butter,http://www.picklesnhoney.com/smoked-paprika-almond-butter-the-liebster-award/,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/smoked%20paprika%20almond%20butter.jpg,"['Low-Carb', 'Low-Sodium']","['Keto-Friendly', 'Vegan', 'Vegetarian', 'Pescatarian', 'Paleo', 'Dairy-Free', 'Gluten-Free', 'Wheat-Free', 'Egg-Free', 'Peanut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'No oil added', 'Kosher']",256.97133333373563,21.449617,11.47686033344024,9.105872,"['Almonds', 'Sea Salt', 'Smoked Paprika', 'Agave']",http://www.edamam.com/ontologies/edamam.owl#recipe_ea7f3b9489b6b5d0f115d1f7f35bd5b1
sole fillets with ratatouille,https://eatsmarter.com/recipes/sole-fillets-with-ratatouille,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/sole%20fillets%20with%20ratatouille.jpg,[],"['Pescatarian', 'Mediterranean', 'Dairy-Free', 'Gluten-Free', 'Wheat-Free', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Kosher']",241.56211150539616,17.605495282715097,12.299801334167226,7.4859344122992635,"['Sole', 'Zucchini', 'Garlic', 'Red Bell pepper', 'yellow Bell pepper', 'Tomatoes', 'Olive oil', 'Tomato paste', 'White wine', 'Sea salt', 'Pepper', 'Basil', 'Lemon juice']",http://www.edamam.com/ontologies/edamam.owl#recipe_ce399e085e606b4d5d32ebe07313a970
prime rib au poivre,http://www.mccormick.com/Gourmet/Recipes/Main-Dishes/Prime-Rib-au-Poivre,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/prime%20rib%20au%20poivre.jpg,"['Low-Carb', 'Low-Sodium']","['Sugar-Conscious', 'Keto-Friendly', 'Paleo', 'Dairy-Free', 'Gluten-Free', 'Wheat-Free', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Crustacean-Free', 'Celery-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'No oil added', 'Sulfite-Free', 'Kosher']",1227.999568061851,105.4662206210262,3.2519774999748607,62.2529234041324,"['beef rib roast', 'Dijon mustard', 'garlic', 'Peppercorn']",http://www.edamam.com/ontologies/edamam.owl#recipe_613b4fb4d4356d67649c385cd6b43820
havarti dill potatoes au gratin,https://tastykitchen.com/recipes/sidedishes/havarti-dill-potatoes-au-gratin/,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/havarti%20dill%20potatoes%20au%20gratin.jpg,[],"['Vegetarian', 'Pescatarian', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Sulfite-Free', 'Kosher', 'Immuno-Supportive']",521.4770999997115,31.318561499999227,38.875873249939524,22.02807674999181,"['Yukon Gold Potatoes', 'Salt', 'Pepper', 'Butter', 'All-purpose Flour', 'Salt', 'Milk', 'Cheese', 'Cheddar Cheese']",http://www.edamam.com/ontologies/edamam.owl#recipe_a7ac9dddefbab482e9d6cf3faadfc52e
chicken chilli vindaloo,https://completerecipes.com/chicken-chilli-vindaloo.html,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/chicken%20chilli%20vindaloo.jpg,"['Low-Carb', 'Low-Sodium']","['Sugar-Conscious', 'Kidney-Friendly', 'Keto-Friendly', 'Dairy-Free', 'Gluten-Free', 'Wheat-Free', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'No oil added', 'Kosher']",358.2336999998962,25.385252000000136,4.592769749972735,25.391206500000557,"['Garlic', 'Ginger', 'Water', 'Chilli', 'Coriander', 'Brown Sugar', 'Cardamon', 'Chicken (Thigh', 'Tumeric', 'Fenugreek', 'Cumin', 'Vinegar']",http://www.edamam.com/ontologies/edamam.owl#recipe_c413948be2d23f1df95887f00a55e030
pineapple chicken teriyaki,https://www.allrecipes.com/recipe/274393/pineapple-chicken-teriyaki/,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/pineapple%20chicken%20teriyaki.jpg,[],"['Dairy-Free', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Lupine-Free', 'Mollusk-Free', 'Alcohol-Free', 'Kosher']",494.7782746394669,14.618939351033532,37.135147556002,52.03831663263212,"['water', 'soy sauce', 'soy sauce', 'molasses', 'ground ginger', 'garlic', 'water', 'cornstarch', 'vegetable oil', 'garlic', 'red pepper flakes', 'chicken breasts', 'vegetables', 'water chestnuts', 'pineapple', 'cornstarch', 'sesame oil']",http://www.edamam.com/ontologies/edamam.owl#recipe_225ee5e081486c2b2314c0ea836d1cca
baked apples with calvados sauce,http://www.bbc.co.uk/food/recipes/bakedappleswithcalva_93269,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/baked%20apples%20with%20calvados%20sauce.jpg,"['High-Fiber', 'Low-Sodium']","['Vegetarian', 'Pescatarian', 'Egg-Free', 'Peanut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Mustard-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Kosher']",338.34450741402645,16.21997534704065,48.85888747337066,2.1285871900317876,"['apples', 'unsalted butter', 'caster sugar', 'caster sugar', 'unsalted butter', 'apple', 'apple juice', 'arrowroot', 'calvados', 'bread', 'icing sugar', 'pistachio nuts', 'almonds', 'almonds', 'calvados']",http://www.edamam.com/ontologies/edamam.owl#recipe_31974b8db9919986a01f7dd43df22b49
creamy cannellini mushroom stroganoff,http://www.diannesvegankitchen.com/2016/03/30/creamy-cannellini-mushroom-stroganoff/,https://storage.googleapis.com/hfc-app-b33ed.appspot.com/recipes_images/creamy%20cannellini%20mushroom%20stroganoff.jpg,"['High-Fiber', 'Low-Fat']","['Sugar-Conscious', 'Vegan', 'Vegetarian', 'Pescatarian', 'Mediterranean', 'Dairy-Free', 'Egg-Free', 'Peanut-Free', 'Tree-Nut-Free', 'Soy-Free', 'Fish-Free', 'Shellfish-Free', 'Pork-Free', 'Red-Meat-Free', 'Crustacean-Free', 'Celery-Free', 'Sesame-Free', 'Lupine-Free', 'Mollusk-Free', 'Kosher']",454.8405350556417,2.5637495012850606,83.386895204422,22.707128665115672,"['olive oil', 'onion', 'garlic', 'crimini mushroom', 'sea salt', 'red wine', 'cooked cannellini bean', 'vegetable stock', 'tomato paste', 'cornstarch', 'ground mustard seed', 'pasta', 'black pepper', 'parsley']",http://www.edamam.com/ontologies/edamam.owl#recipe_24bac05ab4a1d42fd579fa732416bf03
